,colors,description,name,price
304,**No Colors Found**,"For Powders, Dome-Shaped, Blends Shadow",224 Tapered Blending Brush,$32.00
305,**No Colors Found**,"For Powders, Paddle-Shaped, Blends Product",227 Large Fluff Brush,$32.00
306,**No Colors Found**,"For Powders, Round-Tipped, Defines Eyes",228 Mini Shader Brush,$20.00
307,**No Colors Found**,"For Powders/Creams, Paddle-Shaped, Shades Eyes",231 Small Shader Brush,$20.00
308,**No Colors Found**,"For Powders, Oval-Shaped, Blends Shadow",234 Split Fibre Eye Blending Brush,$25.00
309,**No Colors Found**,"For Powders, Rounded Edge, Shades Eyes",239 Eye Shader Brush,$25.00
310,**No Colors Found**,"For Powders/Emollients, Rounded Edge, Shades Eyes",242 Shader Brush,$25.00
311,**No Colors Found**,"For Powders/Emollients, Paddle-Shaped, Shades Eyes",252 Large Shader Brush,$32.00
312,**No Colors Found**,"For All Formulas, Angled Tip, Shapes Eyes/Brows",263 Small Angle Brush,$20.00
313,**No Colors Found**,"For All Formulas, Angled Tip, Lines Eyes",266 Small Angle Brush,$20.00
314,**No Colors Found**,"For Powders, Angled Edge, Contours Eyes",275 Medium Angled Shading Brush,$25.00
315,**No Colors Found**,"For All Formulas, Dome-Shaped, Two Fibres",286 Duo Fibre Tapered Blending Brush,$32.00
316,**No Colors Found**,"For All Formulas, Paddle-Shaped, Two Fibres",287 Duo Fibre Eye Shadow Brush,$32.00
317,**No Colors Found**,"For Liquids/Creams, Tapered Tip, Sculpts Lips",316 Lip Brush,$20.00
318,**No Colors Found**,"For Liquids/Creams, Sculpts Lips, Retractable",318 Retractable Lip Brush,$25.00
319,**No Colors Found**,"For All Formulas, Narrow Shape, Lines Eyes/Lips",Linear 1 Brush,$25.00
320,**No Colors Found**,"For Powders/Creams, Oval Shape, Shades Eyes",Oval 3 Brush,$32.00
321,**No Colors Found**,"For All Formulas, Rounded Shape, Shades Face",Oval 6 Brush,$42.00
322,**No Colors Found**,"Cleansing, Disinfecting, Conditions Brushes",Brush Cleanser,$15.00
323,**No Colors Found**,"Brush Kit, 5 Brushes, Basic",Enchanted Eve Brush Kit / Basic,$52.50
324,**No Colors Found**,"Brush Kit, 5 Brushes, Essentials",Enchanted Eve Brush Kit / Essentials,$52.50
325,**No Colors Found**,"Brush Kit, 4 Brushes, Mineralize",Enchanted Eve Brush Kit / Mineralize,$52.50
326,**No Colors Found**,"All-In-One Kit, For Beginners, Brushes",Look In A Box Brush Kit/Basic,$52.50
327,**No Colors Found**,"All-In-One Kit, For Experts, Brushes",Look In A Box Brush Kit/Advanced,$52.50
328,**No Colors Found**,"For Powders, Rounded Dome Tip, Contours Face",109 Small Contour Brush,$35.00
329,**No Colors Found**,"For Powders, Double Chiseled Shape, Shades Face",135 Large Flat Powder Brush ,$42.00
330,**No Colors Found**,"For All Formulas, Rounded Tip, Two Fibres",139 SE Duo Fibre Tapered Face Brush,$42.00
331,**No Colors Found**,"For All Formulas, Slanted Tip, Two Fibres",161 SE Duo Fibre Face Glider Brush,$42.00
332,**No Colors Found**,"For Powders, Full Rounded Shape, Shades Cheeks",129 Powder/Blush Brush / M·A·C Guo Pei ,$46.00
333,**No Colors Found**,"For Foundation, Flat Slanted Tip, Short Bristles",196 Slanted Flat Top Foundation Brush,$35.00
334,**No Colors Found**,"For Powders, Chiseled Sides, Shades Cheeks",116 Blush Brush,$35.00
335,**No Colors Found**,"For Powders, Paddle-Shaped, Shades Face",127 Split Fibre Face Brush,$35.00
336,**No Colors Found**,"For Powders, Full Rounded Shape, Shades Cheeks",129 Powder/Blush Brush,$35.00
337,**No Colors Found**,"For Powders, Short Dense Shape, Shades Cheeks",128 Split Fibre Cheek Brush,$35.00
338,**No Colors Found**,"Full Rounded Shape, Shades Cheeks, Short Handle",129SH Powder/Blush Brush,$35.00
339,**No Colors Found**,"For All Formulas, Flat-Topped, Two Fibres",130 Short Duo Fibre Brush,$42.00
340,**No Colors Found**,"For Foundation, Paddle-Shaped, Two Fibres",132 Duo Fibre Foundation Brush,$35.00
341,**No Colors Found**,"For Powders, Wide Fluffed Tip, Shades Face and Body",134 Large Powder Brush,$53.00
342,**No Colors Found**,"For Powders, Long Dome Tip, Shades Face",137 Long Blending Brush ,$42.00
343,**No Colors Found**,"For Powders, Pointed Tip, Sculpts Face",138 Tapered Face Brush,$53.00
344,**No Colors Found**,"For Powders, Rounded Shape, Dusts On Product",150 Large Powder Brush,$42.00
345,**No Colors Found**,"For Blush, Paddle-Shaped, Two Fibres",159 Duo Fibre Blush Brush,$35.00
346,**No Colors Found**,"For All Formulas, Flat Wide Top, Contours Face",163 Flat Contour Brush,$35.00
347,**No Colors Found**,"For Powders, Slanted Tip, Contours Cheeks",168 Large Angled Contour Brush,$35.00
348,**No Colors Found**,"For Powders, Dome-Shaped, Buffs Face",182 Buffer Brush,$53.00
349,**No Colors Found**,"For Creams/Liquids, Fan-Shaped, Two Fibres",184 Duo Fibre Fan Brush,$25.00
350,**No Colors Found**,"For All Formulas, Circular Shape, Two Fibres",187 Duo Fibre Face Brush,$42.00
351,**No Colors Found**,"Full Circular Shape, Two Fibres, Short Handle",187SH Duo Fibre Face Brush,$42.00
352,**No Colors Found**,"For All Formulas, Flat-Topped, Two Fibres",188 Small Duo Fibre Face Brush,$35.00
353,**No Colors Found**,"For Foundation, Paddle-Shaped, Shades Face",190 Foundation Brush,$35.00
354,**No Colors Found**,"For Foundation, Flat Square-Shaped, Shades Face",191 Square Foundation Brush,$35.00
355,**No Colors Found**,"For Foundation, Slanted Tip, Precisely Applies",193 Angled Foundation Brush,$35.00
356,**No Colors Found**,"For Concealer, Pointed Tip, Precisely Applies",195 Concealer Brush,$25.00
